data_name,model,seq_len,dnn_type,n_shapelets,lambda_div,lambda_reg,epsilon,distance,memory_efficient,sbm_classifier,gating_value,acc,model_params,model_size (MB)
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,2.0,euclidean,False,linear,1.0,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,2.0,euclidean,False,linear,0.75,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,2.0,euclidean,False,linear,0.5,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,1.0,euclidean,False,linear,1.0,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,1.0,euclidean,False,linear,0.75,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,1.0,euclidean,False,linear,0.5,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,0.5,euclidean,False,linear,1.0,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,0.5,euclidean,False,linear,0.75,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,1.0,0.5,euclidean,False,linear,0.5,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,2.0,euclidean,False,linear,1.0,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,2.0,euclidean,False,linear,0.75,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,2.0,euclidean,False,linear,0.5,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,1.0,euclidean,False,linear,1.0,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,1.0,euclidean,False,linear,0.75,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,1.0,euclidean,False,linear,0.5,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,0.5,euclidean,False,linear,1.0,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,0.5,euclidean,False,linear,0.75,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.1,0.5,euclidean,False,linear,0.5,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,2.0,euclidean,False,linear,1.0,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,2.0,euclidean,False,linear,0.75,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,2.0,euclidean,False,linear,0.5,0.4,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,1.0,euclidean,False,linear,1.0,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,1.0,euclidean,False,linear,0.75,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,1.0,euclidean,False,linear,0.5,0.6,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,0.5,euclidean,False,linear,1.0,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,0.5,euclidean,False,linear,0.75,0.3333333333333333,366023,1.41
StandWalkJump,InterpretGN,2500,FCN,5,0.0,0.0,0.5,euclidean,False,linear,0.5,0.3333333333333333,366023,1.41
